link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7743943-mercedes-e-240,"Mercedes E 240, ",Yeniləndi: 27.09.2023,Baxışların sayı: 463,Bakı,Mercedes,E 240,1997,Sedan,Gümüşü,2.4 L/170 a.g./Benzin,333 033 km,Avtomat,Arxa,Xeyr,10 300 AZN
https://turbo.az/autos/7692283-ford-fusion,"Ford Fusion, ",Yeniləndi: 27.09.2023,Baxışların sayı: 4543,Bakı,Ford,Fusion,2019,Sedan,Ağ,1.5 L/181 a.g./Benzin,65 000 km,Avtomat,Ön,Xeyr,25 500 AZN
https://turbo.az/autos/7765682-kia-rio,"Kia Rio, ",Yeniləndi: 27.09.2023,Baxışların sayı: 390,Bakı,Kia,Rio,2021,Sedan,Qara,1.6 L/123 a.g./Benzin,50 500 km,Avtomat,Ön,Xeyr,30 800 AZN
https://turbo.az/autos/7771943-mercedes-c-230,"Mercedes C 230, ",Yeniləndi: 27.09.2023,Baxışların sayı: 82,Gəncə,Mercedes,C 230,2006,Sedan,Ağ,2.5 L/204 a.g./Benzin,243 512 km,Avtomat,Arxa,Xeyr,12 800 AZN
https://turbo.az/autos/7709592-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1036,Sumqayıt,Hyundai,Santa Fe,2015,Offroader / SUV,Qara,2.2 L/197 a.g./Dizel,140 000 km,Avtomat,Tam,Xeyr,24 300 USD
https://turbo.az/autos/7752697-opel-astra,"Opel Astra, ",Yeniləndi: 27.09.2023,Baxışların sayı: 756,Bakı,Opel,Astra,2006,Hetçbek,Gümüşü,1.3 L/90 a.g./Dizel,237 500 km,Mexaniki,Ön,Xeyr,11 300 AZN
https://turbo.az/autos/7746060-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 27.09.2023,Baxışların sayı: 698,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,2.2 L/197 a.g./Dizel,189 000 km,Avtomat,Tam,Xeyr,33 600 AZN
https://turbo.az/autos/7738930-lexus-lx-570,"Lexus LX 570, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1134,Bakı,Lexus,LX 570,2014,Offroader / SUV,Ağ,5.7 L/367 a.g./Benzin,78 000 km,Avtomat,Tam,Xeyr,59 700 USD
https://turbo.az/autos/7771944-mercedes-e-220,"Mercedes E 220, ",Yeniləndi: 27.09.2023,Baxışların sayı: 47,Bakı,Mercedes,E 220,2008,Sedan,Qara,2.2 L/170 a.g./Dizel,326 000 km,Avtomat,Arxa,Xeyr,24 000 AZN
https://turbo.az/autos/7760841-hyundai-elantra,"Hyundai Elantra, ",Yeniləndi: 27.09.2023,Baxışların sayı: 874,Bakı,Hyundai,Elantra,2014,Sedan,Yaş Asfalt,1.8 L/150 a.g./Benzin,13 765 km,Avtomat,Ön,Xeyr,22 800 AZN
https://turbo.az/autos/7745501-mercedes-vito-111,"Mercedes Vito 111, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1375,Bakı,Mercedes,Vito 111,2009,Minivan,Ağ,2.2 L/116 a.g./Dizel,276 000 km,Mexaniki,Arxa,Xeyr,28 500 AZN
https://turbo.az/autos/7752210-land-rover-discovery,"Land Rover Discovery, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1075,Bakı,Land Rover,Discovery,2017,Offroader / SUV,Ağ,3.0 L/340 a.g./Benzin,51 000 km,Avtomat,Tam,Xeyr,37 000 USD
https://turbo.az/autos/7764155-bmw-x6,"BMW X6, ",Yeniləndi: 27.09.2023,Baxışların sayı: 397,Bakı,BMW,X6,2022,Offroader / SUV,Qara,3.0 L/340 a.g./Benzin,12 000 km,Avtomat,Tam,Xeyr,107 500 USD
https://turbo.az/autos/7771947-renault-scenic,"Renault Scenic, ",Yeniləndi: 27.09.2023,Baxışların sayı: 24,Bakı,Renault,Scenic,2006,Minivan,Qızılı,1.5 L/105 a.g./Dizel,310 000 km,Mexaniki,Arxa,Xeyr,10 300 AZN
https://turbo.az/autos/7733534-bmw-528,"BMW 528, ",Yeniləndi: 27.09.2023,Baxışların sayı: 744,Sumqayıt,BMW,528,2012,Sedan,Qara,2.0 L/245 a.g./Benzin,183 000 km,Avtomat,Arxa,Xeyr,33 000 AZN
https://turbo.az/autos/7767459-honda-cr-v,"Honda CR-V, ",Yeniləndi: 27.09.2023,Baxışların sayı: 5169,Bakı,Honda,CR-V,1997,Offroader / SUV,Gümüşü,2.0 L/145 a.g./Benzin,215 000 km,Avtomat,Tam,Xeyr,7 300 AZN
https://turbo.az/autos/7762951-lexus-is-250,"Lexus IS 250, ",Yeniləndi: 27.09.2023,Baxışların sayı: 373,Bakı,Lexus,IS 250,2014,Sedan,Qara,2.5 L/204 a.g./Benzin,74 500 km,Avtomat,Tam,Xeyr,23 900 USD
https://turbo.az/autos/7687214-toyota-camry,"Toyota Camry, ",Yeniləndi: 27.09.2023,Baxışların sayı: 7745,Bakı,Toyota,Camry,2018,Sedan,Ağ,2.5 L/181 a.g./Benzin,157 500 km,Avtomat,Ön,Xeyr,27 900 USD
https://turbo.az/autos/7761036-ford-transit,"Ford Transit, ",Yeniləndi: 27.09.2023,Baxışların sayı: 360,Bakı,Ford,Transit,2009,Yük maşını,Ağ,2.4 L/140 a.g./Dizel,170 000 km,Mexaniki,Arxa,Xeyr,28 800 AZN
https://turbo.az/autos/7752146-toyota-camry,"Toyota Camry, ",Yeniləndi: 27.09.2023,Baxışların sayı: 561,Bakı,Toyota,Camry,2013,Sedan,Ağ,2.5 L/185 a.g./Benzin,227 200 km,Avtomat,Ön,Xeyr,31 900 AZN
https://turbo.az/autos/7685089-hyundai-elantra,"Hyundai Elantra, ",Yeniləndi: 27.09.2023,Baxışların sayı: 3969,Bakı,Hyundai,Elantra,2015,Sedan,Ağ,1.8 L/150 a.g./Benzin,116 000 km,Avtomat,Ön,Xeyr,25 500 AZN
